tarih,urun_kodu,urun_adi,satis_adedi,birim_fiyat,promosyon_var_mi,resmi_tatil_mi,yil,ay,ayin_gunu,haftanin_gunu,hafta_numarasi,ceyrek,hafta_sonu_mu,yaz_mevsimi_mi,fiyat_endeksi,lag_1,lag_7,lag_14,lag_28,hareketli_ortalama_7,hareketli_ortalama_28,hareketli_std_7
2022-01-29,SARDL,Sardalya Konservesi,347.0,23.11,0,0,2022,1,29,5,4,1,1,0,0.8707611152976639,450.0,304.0,244.0,203.0,404.7142857142857,388.05357142857144,65.35215958103278
2022-01-29,SOMON,Somon Konservesi,141.0,65.12,0,0,2022,1,29,5,4,1,1,0,0.8495759947814743,185.0,105.0,132.0,76.5,186.57142857142858,178.67857142857142,56.43833550243765
2022-01-29,TON160,Ton Balığı Konservesi 160g,425.0,49.2,0,0,2022,1,29,5,4,1,1,0,0.8696420680512594,543.0,390.0,413.0,255.6875,545.7142857142857,510.78794642857144,140.50351630915895
2022-01-29,TON80,Ton Balığı Konservesi 80g,643.0,27.85,0,0,2022,1,29,5,4,1,1,0,0.8434282253179891,854.0,695.0,641.0,428.75,807.7142857142857,811.9553571428571,121.66581865327417
2022-01-29,ZEYTY,Zeytinyağı 1L,262.0,210.41,0,0,2022,1,29,5,4,1,1,0,0.848,297.0,245.5,255.0,123.0,288.64285714285717,277.9107142857143,42.82202926621052
2022-01-30,SARDL,Sardalya Konservesi,299.0,22.62,0,0,2022,1,30,6,4,1,1,0,0.8522984174830446,347.0,328.0,315.0,291.0,410.85714285714283,393.19642857142856,55.60104486856526
2022-01-30,SOMON,Somon Konservesi,128.0,65.9,0,0,2022,1,30,6,4,1,1,0,0.8597521200260927,141.0,135.0,134.0,121.0,191.71428571428572,180.98214285714286,48.903695449029506
2022-01-30,TON160,Ton Balığı Konservesi 160g,566.5,49.53,0,0,2022,1,30,6,4,1,1,0,0.875475033141847,425.0,365.0,370.0,255.6875,550.7142857142857,516.8348214285714,134.53464768813805
2022-01-30,TON80,Ton Balığı Konservesi 80g,714.0,28.12,0,0,2022,1,30,6,4,1,1,0,0.8516050878255602,643.0,581.0,572.0,635.0,800.2857142857143,819.6071428571429,130.9296430475979
2022-01-30,ZEYTY,Zeytinyağı 1L,220.0,208.13,0,0,2022,1,30,6,4,1,1,0,0.8388110831234257,262.0,214.0,205.0,231.0,291.0,282.875,40.439254856306796
2022-01-31,SARDL,Sardalya Konservesi,454.0,22.61,0,0,2022,1,31,0,5,1,0,0,0.8519216277317258,299.0,418.0,429.0,458.0,406.7142857142857,393.48214285714283,63.34486110626056
2022-01-31,SOMON,Somon Konservesi,296.5,67.28,0,0,2022,1,31,0,5,1,0,0,0.8777560339204175,128.0,193.0,160.5,191.0,190.71428571428572,181.23214285714286,50.30809837297333
2022-01-31,TON160,Ton Balığı Konservesi 160g,708.0,48.22,1,0,2022,1,31,0,5,1,0,0,0.8523199292973928,566.5,768.0,824.1875,657.0,579.5,527.9352678571429,106.89285913162455
2022-01-31,TON80,Ton Balığı Konservesi 80g,971.0,26.78,0,0,2022,1,31,0,5,1,0,0,0.8110236220472441,714.0,897.0,1012.0,812.0,819.2857142857143,822.4285714285714,99.73918368376958
2022-01-31,ZEYTY,Zeytinyağı 1L,467.0,210.43,0,0,2022,1,31,0,5,1,0,0,0.848080604534005,220.0,307.0,259.0,318.0,291.85714285714283,282.48214285714283,38.554846523831344
2022-02-01,SARDL,Sardalya Konservesi,429.0,22.6,0,0,2022,2,1,1,5,1,0,0,0.851544837980407,454.0,475.0,426.0,416.0,411.85714285714283,393.3392857142857,65.82661207401513
2022-02-01,SOMON,Somon Konservesi,200.0,64.31,0,0,2022,2,1,1,5,1,0,0,0.8390084801043705,296.5,257.0,187.0,187.0,205.5,185.0,64.34347933810648
2022-02-01,TON160,Ton Balığı Konservesi 160g,767.0,47.56,1,0,2022,2,1,1,5,1,0,0,0.8406539991162174,708.0,587.0,532.0,556.0,570.9285714285714,529.7566964285714,90.39009374715266
2022-02-01,TON80,Ton Balığı Konservesi 80g,1005.0,28.99,1,0,2022,2,1,1,5,1,0,0,0.8779527559055117,971.0,891.0,785.0,902.0,829.8571428571429,828.1071428571429,112.45951652547161
2022-02-01,ZEYTY,Zeytinyağı 1L,322.0,210.73,0,0,2022,2,1,1,5,1,0,0,0.8492896725440806,467.0,317.0,327.0,290.0,314.7142857142857,287.80357142857144,77.14426806469871
2022-02-02,SARDL,Sardalya Konservesi,409.0,23.11,0,0,2022,2,2,2,5,1,0,0,0.8707611152976639,429.0,454.0,381.0,429.0,405.2857142857143,393.80357142857144,60.55772531426612
2022-02-02,SOMON,Somon Konservesi,181.0,67.98,0,0,2022,2,2,2,5,1,0,0,0.8868884540117417,200.0,255.0,243.0,185.0,197.35714285714286,185.46428571428572,60.21400327561846
2022-02-02,TON160,Ton Balığı Konservesi 160g,255.6875,48.35,0,0,2022,2,2,2,5,1,0,0,0.8546177640300486,767.0,522.0,519.0,567.0,596.6428571428571,537.2924107142857,117.31677710573277
