tarih,urun_kodu,urun_adi,satis_adedi,birim_fiyat,promosyon_var_mi,resmi_tatil_mi
2022-01-01,SARDL,Sardalya Konservesi,203.0,22.75,0,1
2022-01-02,SARDL,Sardalya Konservesi,291.0,23.72,0,0
2022-01-03,SARDL,Sardalya Konservesi,458.0,22.27,0,0
2022-01-04,SARDL,Sardalya Konservesi,416.0,22.62,0,0
2022-01-05,SARDL,Sardalya Konservesi,429.0,22.96,0,0
2022-01-06,SARDL,Sardalya Konservesi,402.5,22.52,0,0
2022-01-07,SARDL,Sardalya Konservesi,376.0,21.76,0,0
2022-01-08,SARDL,Sardalya Konservesi,291.0,23.04,0,0
2022-01-09,SARDL,Sardalya Konservesi,347.0,22.5,0,0
2022-01-10,SARDL,Sardalya Konservesi,423.0,22.53,0,0
2022-01-11,SARDL,Sardalya Konservesi,410.0,22.98,0,0
2022-01-12,SARDL,Sardalya Konservesi,461.0,23.12,0,0
2022-01-13,SARDL,Sardalya Konservesi,407.0,23.42,0,0
2022-01-14,SARDL,Sardalya Konservesi,450.0,23.21,0,0
2022-01-15,SARDL,Sardalya Konservesi,244.0,22.0,0,0
2022-01-16,SARDL,Sardalya Konservesi,315.0,22.25,0,0
2022-01-17,SARDL,Sardalya Konservesi,429.0,22.82,0,0
2022-01-18,SARDL,Sardalya Konservesi,426.0,22.6,0,0
2022-01-19,SARDL,Sardalya Konservesi,381.0,23.1,0,0
2022-01-20,SARDL,Sardalya Konservesi,402.0,22.76,0,0
2022-01-21,SARDL,Sardalya Konservesi,471.0,22.24,0,0
2022-01-22,SARDL,Sardalya Konservesi,304.0,22.21,0,0
2022-01-23,SARDL,Sardalya Konservesi,328.0,23.55,0,0
2022-01-24,SARDL,Sardalya Konservesi,418.0,22.46,0,0
2022-01-25,SARDL,Sardalya Konservesi,475.0,22.12,0,0
2022-01-26,SARDL,Sardalya Konservesi,454.0,23.14,0,0
2022-01-27,SARDL,Sardalya Konservesi,404.0,23.05,0,0
2022-01-28,SARDL,Sardalya Konservesi,450.0,22.0,0,0
2022-01-29,SARDL,Sardalya Konservesi,347.0,23.11,0,0
2022-01-30,SARDL,Sardalya Konservesi,299.0,22.62,0,0
2022-01-31,SARDL,Sardalya Konservesi,454.0,22.61,0,0
2022-02-01,SARDL,Sardalya Konservesi,429.0,22.6,0,0
2022-02-02,SARDL,Sardalya Konservesi,409.0,23.11,0,0
2022-02-03,SARDL,Sardalya Konservesi,611.0,23.38,1,0
2022-02-04,SARDL,Sardalya Konservesi,413.0,21.91,0,0
2022-02-05,SARDL,Sardalya Konservesi,370.5,21.84,1,0
2022-02-06,SARDL,Sardalya Konservesi,328.0,22.54,0,0
2022-02-07,SARDL,Sardalya Konservesi,384.0,22.37,0,0
2022-02-08,SARDL,Sardalya Konservesi,440.0,23.04,0,0
2022-02-09,SARDL,Sardalya Konservesi,502.0,23.31,0,0
2022-02-10,SARDL,Sardalya Konservesi,445.0,22.85,0,0
2022-02-11,SARDL,Sardalya Konservesi,203.0,22.4,0,0
2022-02-12,SARDL,Sardalya Konservesi,330.0,23.28,0,0
2022-02-13,SARDL,Sardalya Konservesi,275.0,22.35,0,0
2022-02-14,SARDL,Sardalya Konservesi,575.0,22.53,1,0
2022-02-15,SARDL,Sardalya Konservesi,436.0,22.65,0,0
2022-02-16,SARDL,Sardalya Konservesi,447.0,23.26,0,0
2022-02-17,SARDL,Sardalya Konservesi,346.0,23.09,0,0
2022-02-18,SARDL,Sardalya Konservesi,403.0,22.12,0,0
2022-02-19,SARDL,Sardalya Konservesi,363.5,22.57,0,0
2022-02-20,SARDL,Sardalya Konservesi,324.0,22.47,0,0
2022-02-21,SARDL,Sardalya Konservesi,389.0,22.52,0,0
2022-02-22,SARDL,Sardalya Konservesi,509.0,22.36,0,0
2022-02-23,SARDL,Sardalya Konservesi,455.0,22.52,0,0
2022-02-24,SARDL,Sardalya Konservesi,480.0,22.19,0,0
2022-02-25,SARDL,Sardalya Konservesi,440.0,23.07,0,0
2022-02-26,SARDL,Sardalya Konservesi,321.0,23.1,0,0
2022-02-27,SARDL,Sardalya Konservesi,396.0,23.29,1,0
2022-02-28,SARDL,Sardalya Konservesi,433.0,22.63,0,0
2022-03-01,SARDL,Sardalya Konservesi,429.0,23.25,0,0
2022-03-02,SARDL,Sardalya Konservesi,452.0,23.3,0,0
2022-03-03,SARDL,Sardalya Konservesi,371.0,22.85,0,0
2022-03-04,SARDL,Sardalya Konservesi,491.0,22.73,0,0
2022-03-05,SARDL,Sardalya Konservesi,292.0,23.12,0,0
2022-03-06,SARDL,Sardalya Konservesi,324.0,23.09,0,0
2022-03-07,SARDL,Sardalya Konservesi,473.0,22.69,0,0
2022-03-08,SARDL,Sardalya Konservesi,393.0,23.22,0,0
2022-03-09,SARDL,Sardalya Konservesi,417.0,23.39,0,0
2022-03-10,SARDL,Sardalya Konservesi,396.0,22.92,0,0
2022-03-11,SARDL,Sardalya Konservesi,426.0,23.3,0,0
2022-03-12,SARDL,Sardalya Konservesi,294.0,23.33,0,0
2022-03-13,SARDL,Sardalya Konservesi,289.0,22.72,0,0
2022-03-14,SARDL,Sardalya Konservesi,407.0,23.22,0,0
2022-03-15,SARDL,Sardalya Konservesi,413.0,22.95,0,0
2022-03-16,SARDL,Sardalya Konservesi,371.0,23.25,0,0
2022-03-17,SARDL,Sardalya Konservesi,491.0,23.17,0,0
2022-03-18,SARDL,Sardalya Konservesi,410.0,23.63,0,0
2022-03-19,SARDL,Sardalya Konservesi,315.0,23.3,0,0
2022-03-20,SARDL,Sardalya Konservesi,332.0,23.76,1,0
2022-03-21,SARDL,Sardalya Konservesi,422.0,23.6,0,0
2022-03-22,SARDL,Sardalya Konservesi,404.0,22.75,0,0
2022-03-23,SARDL,Sardalya Konservesi,410.0,22.5,0,0
2022-03-24,SARDL,Sardalya Konservesi,590.0,22.61,1,0
2022-03-25,SARDL,Sardalya Konservesi,422.0,23.39,0,0
2022-03-26,SARDL,Sardalya Konservesi,294.0,23.81,0,0
2022-03-27,SARDL,Sardalya Konservesi,296.0,22.99,0,0
2022-03-28,SARDL,Sardalya Konservesi,455.0,23.41,0,0
2022-03-29,SARDL,Sardalya Konservesi,427.0,23.37,0,0
2022-03-30,SARDL,Sardalya Konservesi,420.0,22.53,0,0
2022-03-31,SARDL,Sardalya Konservesi,466.0,23.84,0,0
2022-04-01,SARDL,Sardalya Konservesi,418.0,23.3,0,0
2022-04-02,SARDL,Sardalya Konservesi,298.0,23.17,0,0
2022-04-03,SARDL,Sardalya Konservesi,388.0,23.73,1,0
2022-04-04,SARDL,Sardalya Konservesi,413.0,23.62,0,0
2022-04-05,SARDL,Sardalya Konservesi,446.0,23.81,0,0
2022-04-06,SARDL,Sardalya Konservesi,420.0,22.85,0,0
2022-04-07,SARDL,Sardalya Konservesi,414.0,23.54,0,0
2022-04-08,SARDL,Sardalya Konservesi,413.0,23.23,0,0
2022-04-09,SARDL,Sardalya Konservesi,355.0,24.04,0,0
2022-04-10,SARDL,Sardalya Konservesi,305.0,23.91,0,0
2022-04-11,SARDL,Sardalya Konservesi,404.0,23.05,0,0
2022-04-12,SARDL,Sardalya Konservesi,625.0,23.96,1,0
2022-04-13,SARDL,Sardalya Konservesi,422.0,23.71,0,0
2022-04-14,SARDL,Sardalya Konservesi,417.5,22.44,0,0
2022-04-15,SARDL,Sardalya Konservesi,413.0,23.3,0,0
2022-04-16,SARDL,Sardalya Konservesi,316.0,22.98,0,0
2022-04-17,SARDL,Sardalya Konservesi,291.0,23.76,0,0
2022-04-18,SARDL,Sardalya Konservesi,408.0,22.68,0,0
2022-04-19,SARDL,Sardalya Konservesi,452.0,22.81,0,0
2022-04-20,SARDL,Sardalya Konservesi,496.0,23.3,0,0
2022-04-21,SARDL,Sardalya Konservesi,494.0,23.66,0,0
2022-04-22,SARDL,Sardalya Konservesi,351.0,22.67,0,0
2022-04-23,SARDL,Sardalya Konservesi,203.0,23.44,0,1
2022-04-24,SARDL,Sardalya Konservesi,341.0,23.28,0,0
2022-04-25,SARDL,Sardalya Konservesi,496.0,22.82,0,0
2022-04-26,SARDL,Sardalya Konservesi,429.0,23.69,0,0
2022-04-27,SARDL,Sardalya Konservesi,463.0,23.19,0,0
2022-04-28,SARDL,Sardalya Konservesi,430.0,23.05,0,0
2022-04-29,SARDL,Sardalya Konservesi,484.0,23.38,0,0
2022-04-30,SARDL,Sardalya Konservesi,309.0,23.09,0,0
2022-05-01,SARDL,Sardalya Konservesi,203.0,23.58,0,1
2022-05-02,SARDL,Sardalya Konservesi,203.0,23.25,0,1
2022-05-03,SARDL,Sardalya Konservesi,203.0,23.99,0,1
2022-05-04,SARDL,Sardalya Konservesi,203.0,24.22,0,1
2022-05-05,SARDL,Sardalya Konservesi,203.0,24.27,0,1
2022-05-06,SARDL,Sardalya Konservesi,400.0,23.32,0,0
2022-05-07,SARDL,Sardalya Konservesi,345.0,23.27,0,0
2022-05-08,SARDL,Sardalya Konservesi,324.0,23.42,0,0
2022-05-09,SARDL,Sardalya Konservesi,440.0,23.54,0,0
2022-05-10,SARDL,Sardalya Konservesi,448.0,23.59,0,0
2022-05-11,SARDL,Sardalya Konservesi,422.0,23.08,0,0
2022-05-12,SARDL,Sardalya Konservesi,437.0,23.61,0,0
2022-05-13,SARDL,Sardalya Konservesi,602.0,23.26,1,0
2022-05-14,SARDL,Sardalya Konservesi,278.0,23.12,0,0
2022-05-15,SARDL,Sardalya Konservesi,278.0,23.63,0,0
2022-05-16,SARDL,Sardalya Konservesi,653.0,23.63,0,0
2022-05-17,SARDL,Sardalya Konservesi,420.0,23.17,0,0
2022-05-18,SARDL,Sardalya Konservesi,418.0,22.76,0,0
2022-05-19,SARDL,Sardalya Konservesi,203.0,24.08,0,1
2022-05-20,SARDL,Sardalya Konservesi,653.0,23.37,1,0
2022-05-21,SARDL,Sardalya Konservesi,342.0,23.04,0,0
2022-05-22,SARDL,Sardalya Konservesi,311.0,23.41,0,0
2022-05-23,SARDL,Sardalya Konservesi,415.0,24.16,0,0
2022-05-24,SARDL,Sardalya Konservesi,462.0,23.86,0,0
2022-05-25,SARDL,Sardalya Konservesi,405.0,23.26,0,0
2022-05-26,SARDL,Sardalya Konservesi,424.0,23.46,0,0
2022-05-27,SARDL,Sardalya Konservesi,409.0,23.07,0,0
2022-05-28,SARDL,Sardalya Konservesi,300.0,21.95,0,0
2022-05-29,SARDL,Sardalya Konservesi,267.0,24.02,0,0
2022-05-30,SARDL,Sardalya Konservesi,516.0,23.38,0,0
2022-05-31,SARDL,Sardalya Konservesi,478.0,23.6,0,0
2022-06-01,SARDL,Sardalya Konservesi,648.0,23.14,0,0
2022-06-02,SARDL,Sardalya Konservesi,653.0,23.07,1,0
2022-06-03,SARDL,Sardalya Konservesi,653.0,24.03,0,0
2022-06-04,SARDL,Sardalya Konservesi,616.0,23.48,1,0
2022-06-05,SARDL,Sardalya Konservesi,635.0,23.78,1,0
2022-06-06,SARDL,Sardalya Konservesi,653.0,23.6,0,0
2022-06-07,SARDL,Sardalya Konservesi,610.0,24.34,0,0
2022-06-08,SARDL,Sardalya Konservesi,580.0,23.69,0,0
2022-06-09,SARDL,Sardalya Konservesi,606.0,23.84,0,0
2022-06-10,SARDL,Sardalya Konservesi,632.0,23.71,0,0
2022-06-11,SARDL,Sardalya Konservesi,344.0,24.6,0,0
2022-06-12,SARDL,Sardalya Konservesi,434.0,23.46,0,0
2022-06-13,SARDL,Sardalya Konservesi,649.0,24.4,0,0
2022-06-14,SARDL,Sardalya Konservesi,653.0,23.95,0,0
2022-06-15,SARDL,Sardalya Konservesi,653.0,23.64,0,0
2022-06-16,SARDL,Sardalya Konservesi,573.0,23.48,0,0
2022-06-17,SARDL,Sardalya Konservesi,644.0,24.59,0,0
2022-06-18,SARDL,Sardalya Konservesi,408.0,24.05,0,0
2022-06-19,SARDL,Sardalya Konservesi,510.0,23.99,0,0
2022-06-20,SARDL,Sardalya Konservesi,563.0,23.63,0,0
2022-06-21,SARDL,Sardalya Konservesi,653.0,23.85,1,0
2022-06-22,SARDL,Sardalya Konservesi,589.0,23.03,0,0
2022-06-23,SARDL,Sardalya Konservesi,576.0,23.55,0,0
2022-06-24,SARDL,Sardalya Konservesi,653.0,24.42,0,0
2022-06-25,SARDL,Sardalya Konservesi,461.0,24.09,0,0
2022-06-26,SARDL,Sardalya Konservesi,415.0,23.73,0,0
2022-06-27,SARDL,Sardalya Konservesi,622.0,24.57,0,0
2022-06-28,SARDL,Sardalya Konservesi,653.0,23.6,0,0
2022-06-29,SARDL,Sardalya Konservesi,653.0,23.79,0,0
2022-06-30,SARDL,Sardalya Konservesi,653.0,23.64,0,0
2022-07-01,SARDL,Sardalya Konservesi,653.0,24.31,0,0
2022-07-02,SARDL,Sardalya Konservesi,444.0,23.51,0,0
2022-07-03,SARDL,Sardalya Konservesi,438.0,24.78,0,0
2022-07-04,SARDL,Sardalya Konservesi,653.0,24.25,0,0
2022-07-05,SARDL,Sardalya Konservesi,612.0,22.99,0,0
2022-07-06,SARDL,Sardalya Konservesi,536.0,23.88,0,0
2022-07-07,SARDL,Sardalya Konservesi,577.0,23.67,0,0
2022-07-08,SARDL,Sardalya Konservesi,539.0,24.3,0,0
2022-07-09,SARDL,Sardalya Konservesi,203.0,24.8,0,1
2022-07-10,SARDL,Sardalya Konservesi,261.0,23.4,1,1
2022-07-11,SARDL,Sardalya Konservesi,249.0,24.2,0,1
2022-07-12,SARDL,Sardalya Konservesi,261.0,23.58,0,1
2022-07-13,SARDL,Sardalya Konservesi,422.0,23.99,0,0
2022-07-14,SARDL,Sardalya Konservesi,583.0,23.29,0,0
2022-07-15,SARDL,Sardalya Konservesi,653.0,23.7,0,0
2022-07-16,SARDL,Sardalya Konservesi,431.0,24.36,0,0
2022-07-17,SARDL,Sardalya Konservesi,482.0,23.76,0,0
2022-07-18,SARDL,Sardalya Konservesi,638.0,24.09,0,0
2022-07-19,SARDL,Sardalya Konservesi,620.0,23.63,0,0
2022-07-20,SARDL,Sardalya Konservesi,621.0,23.98,0,0
2022-07-21,SARDL,Sardalya Konservesi,653.0,24.34,0,0
2022-07-22,SARDL,Sardalya Konservesi,601.0,23.55,0,0
2022-07-23,SARDL,Sardalya Konservesi,497.0,23.67,0,0
2022-07-24,SARDL,Sardalya Konservesi,430.0,25.09,0,0
2022-07-25,SARDL,Sardalya Konservesi,653.0,23.94,0,0
2022-07-26,SARDL,Sardalya Konservesi,653.0,23.68,0,0
2022-07-27,SARDL,Sardalya Konservesi,539.0,24.02,0,0
2022-07-28,SARDL,Sardalya Konservesi,609.0,23.41,0,0
2022-07-29,SARDL,Sardalya Konservesi,581.0,24.63,0,0
2022-07-30,SARDL,Sardalya Konservesi,455.0,23.8,0,0
2022-07-31,SARDL,Sardalya Konservesi,618.0,23.26,1,0
2022-08-01,SARDL,Sardalya Konservesi,653.0,23.33,0,0
2022-08-02,SARDL,Sardalya Konservesi,579.0,23.69,0,0
2022-08-03,SARDL,Sardalya Konservesi,653.0,24.21,0,0
2022-08-04,SARDL,Sardalya Konservesi,636.0,24.27,0,0
2022-08-05,SARDL,Sardalya Konservesi,645.0,24.2,0,0
2022-08-06,SARDL,Sardalya Konservesi,433.0,24.32,0,0
2022-08-07,SARDL,Sardalya Konservesi,419.0,24.43,0,0
2022-08-08,SARDL,Sardalya Konservesi,653.0,24.65,0,0
2022-08-09,SARDL,Sardalya Konservesi,652.0,25.18,0,0
